genre_id,facet,language,alias,canonical_name
genre_000047,theme,zh-CN,NTR,被夺爱
genre_000047,theme,ja,NTR,寝取られ
genre_000047,theme,en,NTR,Netorare
genre_000079,role,zh-CN,女高中生,女高中生
genre_000079,role,ja,JK,女子校生
genre_000079,role,en,Schoolgirl,Female High School Student
genre_000126,role,zh-CN,女装人妖,跨性别女性
genre_000126,role,ja,ニューハーフ,トランスジェンダー女性
genre_000126,role,en,Trans Woman,Transgender Woman
genre_000175,wardrobe,zh-CN,身体套装,全身紧身衣
genre_000175,wardrobe,en,Zentai,Bodysuit
genre_000298,production,zh-CN,无码,无码
genre_000298,production,ja,修正なし,無修正
genre_000298,production,en,Uncensored,Uncensored
genre_000299,production,zh-CN,有码,有码
genre_000299,production,ja,修正あり,モザイク
genre_000299,production,en,Mosaic Censored,Censored
genre_000314,media,zh-CN,数字发行,数字发行
genre_000314,media,ja,デジタル配信,配信
genre_000314,media,en,Digital Release,Digital Distribution
