id,facet,facet_ja,facet_zh,facet_en,assignment_target,name_ja,name_zh,name_en,aliases_ja,aliases_zh,aliases_en,status,translation_status
genre_000001,theme,テーマ,主题,Theme,genreIds,美少女,美少女,Beautiful Girl,,,,active,reviewed
genre_000002,theme,テーマ,主题,Theme,genreIds,人妻,已婚女性,Married Woman,,,,active,reviewed
genre_000003,theme,テーマ,主题,Theme,genreIds,熟女,熟女,Mature Woman,,,,active,reviewed
genre_000004,theme,テーマ,主题,Theme,genreIds,素人,素人,Amateur,,,,active,reviewed
genre_000005,theme,テーマ,主题,Theme,genreIds,初撮り,首次拍摄,First Shoot,,,,active,reviewed
genre_000006,theme,テーマ,主题,Theme,genreIds,デビュー作,出道作,Debut Work,,,,active,reviewed
genre_000007,theme,テーマ,主题,Theme,genreIds,引退作,引退作,Retirement Work,,,,active,reviewed
genre_000008,theme,テーマ,主题,Theme,genreIds,復帰作,复出作,Comeback Work,,,,active,reviewed
genre_000009,theme,テーマ,主题,Theme,genreIds,記念作,纪念作品,Anniversary Work,,,,active,reviewed
genre_000010,theme,テーマ,主题,Theme,genreIds,ファン感謝,粉丝感谢,Fan Appreciation,,,,active,reviewed
genre_000011,theme,テーマ,主题,Theme,genreIds,単体作品,单体作品,Solo Performer Work,,,,active,reviewed
genre_000012,theme,テーマ,主题,Theme,genreIds,企画作品,企划作品,Concept Work,,,,active,reviewed
genre_000013,theme,テーマ,主题,Theme,genreIds,共演,共演,Co-starring,,,,active,reviewed
genre_000014,theme,テーマ,主题,Theme,genreIds,ドラマ,剧情,Drama,,,,active,reviewed
genre_000015,theme,テーマ,主题,Theme,genreIds,ドキュメンタリー,纪录片,Documentary,,,,active,reviewed
genre_000016,theme,テーマ,主题,Theme,genreIds,恋愛,恋爱,Romance,,,,active,reviewed
genre_000017,theme,テーマ,主题,Theme,genreIds,ラブコメ,爱情喜剧,Romantic Comedy,,,,active,reviewed
genre_000018,theme,テーマ,主题,Theme,genreIds,コメディ,喜剧,Comedy,,,,active,reviewed
genre_000019,theme,テーマ,主题,Theme,genreIds,サスペンス,悬疑,Suspense,,,,active,reviewed
genre_000020,theme,テーマ,主题,Theme,genreIds,ホラー,恐怖,Horror,,,,active,reviewed
genre_000021,theme,テーマ,主题,Theme,genreIds,SF,科幻,Science Fiction,,,,active,reviewed
genre_000022,theme,テーマ,主题,Theme,genreIds,ファンタジー,奇幻,Fantasy,,,,active,reviewed
genre_000023,theme,テーマ,主题,Theme,genreIds,パロディ,戏仿,Parody,,,,active,reviewed
genre_000024,theme,テーマ,主题,Theme,genreIds,時代劇,历史剧,Period Drama,,,,active,reviewed
genre_000025,theme,テーマ,主题,Theme,genreIds,旅行,旅行,Travel,,,,active,reviewed
genre_000026,theme,テーマ,主题,Theme,genreIds,温泉,温泉,Hot Spring,,,,active,reviewed
genre_000027,theme,テーマ,主题,Theme,genreIds,学校,学校题材,School Setting,,,,active,reviewed
genre_000028,theme,テーマ,主题,Theme,genreIds,職場,职场题材,Workplace Setting,,,,active,reviewed
genre_000029,theme,テーマ,主题,Theme,genreIds,美容院,美容院,Beauty Salon,,,,active,reviewed
genre_000030,theme,テーマ,主题,Theme,genreIds,エステ,美容护理,Beauty Treatment,,,,active,reviewed
genre_000031,theme,テーマ,主题,Theme,genreIds,病院,医院,Hospital Setting,,,,active,reviewed
genre_000032,theme,テーマ,主题,Theme,genreIds,スポーツ,运动,Sports,,,,active,reviewed
genre_000033,theme,テーマ,主题,Theme,genreIds,ダンス,舞蹈,Dance,,,,active,reviewed
genre_000034,theme,テーマ,主题,Theme,genreIds,時間停止,时间停止,Time Stop,,,,active,reviewed
genre_000035,theme,テーマ,主题,Theme,genreIds,透明人間,隐形人,Invisible Person,,,,active,reviewed
genre_000036,theme,テーマ,主题,Theme,genreIds,入れ替わり,身份互换,Body Swap,,,,active,reviewed
genre_000037,theme,テーマ,主题,Theme,genreIds,催眠,催眠,Hypnosis,,,,active,reviewed
genre_000038,theme,テーマ,主题,Theme,genreIds,洗脳,洗脑,Mind Control,,,,active,reviewed
genre_000039,theme,テーマ,主题,Theme,genreIds,変身,变身,Transformation,,,,active,reviewed
genre_000040,theme,テーマ,主题,Theme,genreIds,女体化,女性化,Feminization,,,,active,reviewed
genre_000041,theme,テーマ,主题,Theme,genreIds,恋人,情侣,Couple,,,,active,reviewed
genre_000042,theme,テーマ,主题,Theme,genreIds,友達,朋友,Friends,,,,active,reviewed
genre_000043,theme,テーマ,主题,Theme,genreIds,幼なじみ,青梅竹马,Childhood Friends,,,,active,reviewed
genre_000044,theme,テーマ,主题,Theme,genreIds,家族,家庭,Family,,,,active,reviewed
genre_000045,theme,テーマ,主题,Theme,genreIds,近親設定,近亲设定,Incest Theme,,,,active,reviewed
genre_000046,theme,テーマ,主题,Theme,genreIds,不倫,婚外情,Infidelity,,,,active,reviewed
genre_000047,theme,テーマ,主题,Theme,genreIds,寝取られ,被夺爱,Netorare,NTR,NTR,NTR,active,reviewed
genre_000048,theme,テーマ,主题,Theme,genreIds,寝取り,夺爱,Netori,,,,active,reviewed
genre_000049,theme,テーマ,主题,Theme,genreIds,浮気,出轨,Cheating,,,,active,reviewed
genre_000050,theme,テーマ,主题,Theme,genreIds,誘惑,诱惑,Seduction,,,,active,reviewed
genre_000051,theme,テーマ,主题,Theme,genreIds,逆ナン,女性搭讪,Reverse Pickup,,,,active,reviewed
genre_000052,theme,テーマ,主题,Theme,genreIds,ナンパ,搭讪,Pickup,,,,active,reviewed
genre_000053,theme,テーマ,主题,Theme,genreIds,痴漢,痴汉题材,Groping Theme,,,,active,reviewed
genre_000054,theme,テーマ,主题,Theme,genreIds,盗撮,偷拍题材,Hidden Camera Theme,,,,active,reviewed
genre_000055,theme,テーマ,主题,Theme,genreIds,覗き,偷窥题材,Voyeurism,,,,active,reviewed
genre_000056,theme,テーマ,主题,Theme,genreIds,露出,公开暴露,Public Exposure,,,,active,reviewed
genre_000057,theme,テーマ,主题,Theme,genreIds,羞恥,羞耻,Humiliation,,,,active,reviewed
genre_000058,theme,テーマ,主题,Theme,genreIds,いたずら,恶作剧,Prank,,,,active,reviewed
genre_000059,theme,テーマ,主题,Theme,genreIds,フェチ,恋物,Fetish,,,,active,reviewed
genre_000060,theme,テーマ,主题,Theme,genreIds,脚フェチ,腿控,Leg Fetish,,,,active,reviewed
genre_000061,theme,テーマ,主题,Theme,genreIds,足フェチ,足控,Foot Fetish,,,,active,reviewed
genre_000062,theme,テーマ,主题,Theme,genreIds,乳フェチ,乳房偏好,Breast Fetish,,,,active,reviewed
genre_000063,theme,テーマ,主题,Theme,genreIds,尻フェチ,臀部偏好,Butt Fetish,,,,active,reviewed
genre_000064,theme,テーマ,主题,Theme,genreIds,匂いフェチ,气味偏好,Scent Fetish,,,,active,reviewed
genre_000065,theme,テーマ,主题,Theme,genreIds,汗,汗水,Sweat,,,,active,reviewed
genre_000066,theme,テーマ,主题,Theme,genreIds,日焼け,晒黑,Tanned,,,,active,reviewed
genre_000067,theme,テーマ,主题,Theme,genreIds,全裸,全裸,Full Nudity,,,,active,reviewed
genre_000068,theme,テーマ,主题,Theme,genreIds,恋愛リアリティ,恋爱真人秀,Dating Reality,,,,active,reviewed
genre_000069,theme,テーマ,主题,Theme,genreIds,主観,主观视角,Point of View,,,,active,reviewed
genre_000070,theme,テーマ,主题,Theme,genreIds,ハメ撮り,第一人称拍摄,POV Recording,,,,active,reviewed
genre_000071,role,役柄,角色,Role,genreIds,アイドル,偶像,Idol,,,,active,reviewed
genre_000072,role,役柄,角色,Role,genreIds,芸能人,艺人,Celebrity,,,,active,reviewed
genre_000073,role,役柄,角色,Role,genreIds,女子アナ,女主播,Female Announcer,,,,active,reviewed
genre_000074,role,役柄,角色,Role,genreIds,女優,女演员,Actress,,,,active,reviewed
genre_000075,role,役柄,角色,Role,genreIds,モデル,模特,Model,,,,active,reviewed
genre_000076,role,役柄,角色,Role,genreIds,グラビアアイドル,写真偶像,Gravure Idol,,,,active,reviewed
genre_000077,role,役柄,角色,Role,genreIds,学生,学生,Student,,,,active,reviewed
genre_000078,role,役柄,角色,Role,genreIds,女子大生,女大学生,Female College Student,,,,active,reviewed
genre_000079,role,役柄,角色,Role,genreIds,女子校生,女高中生,Female High School Student,JK,女高中生,Schoolgirl,active,reviewed
genre_000080,role,役柄,角色,Role,genreIds,先生,教师,Teacher,,,,active,reviewed
genre_000081,role,役柄,角色,Role,genreIds,女教師,女教师,Female Teacher,,,,active,reviewed
genre_000082,role,役柄,角色,Role,genreIds,家庭教師,家庭教师,Private Tutor,,,,active,reviewed
genre_000083,role,役柄,角色,Role,genreIds,講師,讲师,Instructor,,,,active,reviewed
genre_000084,role,役柄,角色,Role,genreIds,OL,职场女性,Office Lady,,,,active,reviewed
genre_000085,role,役柄,角色,Role,genreIds,秘書,秘书,Secretary,,,,active,reviewed
genre_000086,role,役柄,角色,Role,genreIds,受付嬢,前台接待,Receptionist,,,,active,reviewed
genre_000087,role,役柄,角色,Role,genreIds,店員,店员,Shop Clerk,,,,active,reviewed
genre_000088,role,役柄,角色,Role,genreIds,ウェイトレス,服务员,Waitress,,,,active,reviewed
genre_000089,role,役柄,角色,Role,genreIds,看護師,护士,Nurse,,,,active,reviewed
genre_000090,role,役柄,角色,Role,genreIds,女医,女医生,Female Doctor,,,,active,reviewed
genre_000091,role,役柄,角色,Role,genreIds,女検事,女检察官,Female Prosecutor,,,,active,reviewed
genre_000092,role,役柄,角色,Role,genreIds,警察官,警察,Police Officer,,,,active,reviewed
genre_000093,role,役柄,角色,Role,genreIds,客室乗務員,空乘,Flight Attendant,,,,active,reviewed
genre_000094,role,役柄,角色,Role,genreIds,車掌,列车乘务员,Train Conductor,,,,active,reviewed
genre_000095,role,役柄,角色,Role,genreIds,美容師,美发师,Hairdresser,,,,active,reviewed
genre_000096,role,役柄,角色,Role,genreIds,エステティシャン,美容师,Esthetician,,,,active,reviewed
genre_000097,role,役柄,角色,Role,genreIds,女将,女掌柜,Inn Proprietress,,,,active,reviewed
genre_000098,role,役柄,角色,Role,genreIds,女主人,女主人,Hostess,,,,active,reviewed
genre_000099,role,役柄,角色,Role,genreIds,メイド,女仆,Maid,,,,active,reviewed
genre_000100,role,役柄,角色,Role,genreIds,巫女,巫女,Shrine Maiden,,,,active,reviewed
genre_000101,role,役柄,角色,Role,genreIds,シスター,修女,Nun,,,,active,reviewed
genre_000102,role,役柄,角色,Role,genreIds,花嫁,新娘,Bride,,,,active,reviewed
genre_000103,role,役柄,角色,Role,genreIds,若妻,年轻妻子,Young Wife,,,,active,reviewed
genre_000104,role,役柄,角色,Role,genreIds,未亡人,寡妇,Widow,,,,active,reviewed
genre_000105,role,役柄,角色,Role,genreIds,母,母亲,Mother,,,,active,reviewed
genre_000106,role,役柄,角色,Role,genreIds,義母,继母,Stepmother,,,,active,reviewed
genre_000107,role,役柄,角色,Role,genreIds,姉,姐姐,Older Sister,,,,active,reviewed
genre_000108,role,役柄,角色,Role,genreIds,妹,妹妹,Younger Sister,,,,active,reviewed
genre_000109,role,役柄,角色,Role,genreIds,娘,女儿,Daughter,,,,active,reviewed
genre_000110,role,役柄,角色,Role,genreIds,お嬢様,大小姐,Young Lady,,,,active,reviewed
