id,kind,name_ja,parent_organization_id,status,official_website,external_ids,first_published_in
label_000001,label,MOODYZ DIVA,maker_000002,unknown,https://moodyz.com/works/list/label/5048,moodyz.label:5048,0.4.0
label_000002,label,みんなのキカタン,maker_000002,unknown,https://moodyz.com/works/list/label/12798,moodyz.label:12798,0.4.0
label_000003,label,死夜悪,maker_000004,unknown,https://attackers.net/works/list/label/2754,attackers.label:2754,0.4.1
label_000004,label,龍縛,maker_000004,unknown,https://attackers.net/works/list/label/2751,attackers.label:2751,0.4.1
label_000005,label,大人のドラマ,maker_000004,unknown,https://attackers.net/works/list/label/9455,attackers.label:9455,0.4.1
label_000006,label,淫魔,maker_000004,unknown,https://attackers.net/works/list/label/2737,attackers.label:2737,0.4.1
label_000007,label,Attackers,maker_000004,unknown,https://attackers.net/works/list/label/2739,attackers.label:2739,0.4.1
label_000008,label,蛇縛,maker_000004,unknown,https://attackers.net/works/list/label/2749,attackers.label:2749,0.4.1
label_000009,label,アタッカーズ・アンソロジー,maker_000004,unknown,https://attackers.net/works/list/label/2735,attackers.label:2735,0.4.1
label_000010,label,SUPER SPECIAL,maker_000004,unknown,https://attackers.net/works/list/label/2756,attackers.label:2756,0.4.1
label_000011,label,誘女,maker_000004,unknown,https://attackers.net/works/list/label/12605,attackers.label:12605,0.4.1
label_000012,label,アタッカーズVR,maker_000004,unknown,https://attackers.net/works/list/label/81348,attackers.label:81348,0.4.1
label_000013,label,アタックゾーン,maker_000004,unknown,https://attackers.net/works/list/label/5245,attackers.label:5245,0.4.1
label_000014,label,春のパンツまつり,maker_000004,unknown,https://attackers.net/works/list/label/85265,attackers.label:85265,0.4.1
label_000015,label,AVOPEN,maker_000004,unknown,https://attackers.net/works/list/label/9483,attackers.label:9483,0.4.1
label_000016,label,AVグランプリ,maker_000004,unknown,https://attackers.net/works/list/label/10077,attackers.label:10077,0.4.1
label_000017,label,おっぱい祭り,maker_000004,unknown,https://attackers.net/works/list/label/10142,attackers.label:10142,0.4.1
label_000018,label,秋のシコシコ強化月間,maker_000004,unknown,https://attackers.net/works/list/label/10144,attackers.label:10144,0.4.1
label_000019,label,背徳ビチョビチョ！NTR大放出,maker_000004,unknown,https://attackers.net/works/list/label/10151,attackers.label:10151,0.4.1
label_000020,label,Madonna,maker_000005,unknown,https://madonna-av.com/works/list/label/3669,madonna.label:3669,0.4.1
label_000021,label,MONROE,maker_000005,unknown,https://madonna-av.com/works/list/label/12490,madonna.label:12490,0.4.1
label_000022,label,Obasan,maker_000005,unknown,https://madonna-av.com/works/list/label/9387,madonna.label:9387,0.4.1
label_000023,label,MadonnaVR,maker_000005,unknown,https://madonna-av.com/works/list/label/9789,madonna.label:9789,0.4.1
label_000024,label,Fitch,maker_000005,unknown,https://madonna-av.com/works/list/label/7354,madonna.label:7354,0.4.1
label_000025,label,熟れコミ,maker_000005,unknown,https://madonna-av.com/works/list/label/9419,madonna.label:9419,0.4.1
label_000026,label,ACHIJO(アチージョ),maker_000005,unknown,https://madonna-av.com/works/list/label/12603,madonna.label:12603,0.4.1
label_000027,label,MADOOOON!!!!,maker_000005,unknown,https://madonna-av.com/works/list/label/12502,madonna.label:12502,0.4.1
label_000028,label,Re:Madonna/AIリマスター,maker_000005,unknown,https://madonna-av.com/works/list/label/10130,madonna.label:10130,0.4.1
label_000029,label,Fitch　BEST,maker_000005,unknown,https://madonna-av.com/works/list/label/7993,madonna.label:7993,0.4.1
label_000030,label,性録ch,maker_000005,unknown,https://madonna-av.com/works/list/label/10159,madonna.label:10159,0.4.1
label_000031,label,※スマホ推奨タテ動画※マドーンショート,maker_000005,unknown,https://madonna-av.com/works/list/label/10119,madonna.label:10119,0.4.1
label_000032,label,春のパンツまつり,maker_000005,unknown,https://madonna-av.com/works/list/label/85265,madonna.label:85265,0.4.1
label_000033,label,AVOPEN,maker_000005,unknown,https://madonna-av.com/works/list/label/9483,madonna.label:9483,0.4.1
label_000034,label,おっぱい祭り,maker_000005,unknown,https://madonna-av.com/works/list/label/10142,madonna.label:10142,0.4.1
label_000035,label,AVグランプリ,maker_000005,unknown,https://madonna-av.com/works/list/label/10077,madonna.label:10077,0.4.1
label_000036,label,背徳ビチョビチョ！NTR大放出,maker_000005,unknown,https://madonna-av.com/works/list/label/10151,madonna.label:10151,0.4.1
label_000037,label,bizarre　amaturs,maker_000005,unknown,https://madonna-av.com/works/list/label/3125,madonna.label:3125,0.4.1
maker_000001,maker,アイデアポケット,,,,,
maker_000002,maker,MOODYZ,,,,,
maker_000003,maker,エスワン,,,,,
maker_000004,maker,ATTACKERS,,unknown,https://attackers.net/,,0.4.1
maker_000005,maker,マドンナ,,unknown,https://madonna-av.com/,,0.4.1
