classification,reason,source_id,provider,entity_type,external_id,name_ja,community_id,candidate_community_ids,source_url
auto-applied,approved-external-id,source_attackers_official,attackers.label,label,10077,AVグランプリ,label_000016,,https://attackers.net/works/list/label/10077
auto-applied,approved-external-id,source_attackers_official,attackers.label,label,10142,おっぱい祭り,label_000017,,https://attackers.net/works/list/label/10142
auto-applied,approved-external-id,source_attackers_official,attackers.label,label,10144,秋のシコシコ強化月間,label_000018,,https://attackers.net/works/list/label/10144
auto-applied,approved-external-id,source_attackers_official,attackers.label,label,10151,背徳ビチョビチョ！NTR大放出,label_000019,,https://attackers.net/works/list/label/10151
auto-applied,approved-external-id,source_attackers_official,attackers.label,label,12605,誘女,label_000011,,https://attackers.net/works/list/label/12605
auto-applied,approved-external-id,source_attackers_official,attackers.label,label,2735,アタッカーズ・アンソロジー,label_000009,,https://attackers.net/works/list/label/2735
auto-applied,approved-external-id,source_attackers_official,attackers.label,label,2737,淫魔,label_000006,,https://attackers.net/works/list/label/2737
auto-applied,approved-external-id,source_attackers_official,attackers.label,label,2739,Attackers,label_000007,,https://attackers.net/works/list/label/2739
auto-applied,approved-external-id,source_attackers_official,attackers.label,label,2749,蛇縛,label_000008,,https://attackers.net/works/list/label/2749
auto-applied,approved-external-id,source_attackers_official,attackers.label,label,2751,龍縛,label_000004,,https://attackers.net/works/list/label/2751
auto-applied,approved-external-id,source_attackers_official,attackers.label,label,2754,死夜悪,label_000003,,https://attackers.net/works/list/label/2754
auto-applied,approved-external-id,source_attackers_official,attackers.label,label,2756,SUPER SPECIAL,label_000010,,https://attackers.net/works/list/label/2756
auto-applied,approved-external-id,source_attackers_official,attackers.label,label,5245,アタックゾーン,label_000013,,https://attackers.net/works/list/label/5245
auto-applied,approved-external-id,source_attackers_official,attackers.label,label,81348,アタッカーズVR,label_000012,,https://attackers.net/works/list/label/81348
auto-applied,approved-external-id,source_attackers_official,attackers.label,label,85265,春のパンツまつり,label_000014,,https://attackers.net/works/list/label/85265
auto-applied,approved-external-id,source_attackers_official,attackers.label,label,9455,大人のドラマ,label_000005,,https://attackers.net/works/list/label/9455
auto-applied,approved-external-id,source_attackers_official,attackers.label,label,9483,AVOPEN,label_000015,,https://attackers.net/works/list/label/9483
auto-applied,approved-external-id,source_attackers_official,attackers.series,series,2253,アナル奴隷白書,series_000018,,https://attackers.net/works/list/series/2253
auto-applied,approved-external-id,source_attackers_official,attackers.series,series,2254,夫の目の前で犯されて,series_000019,,https://attackers.net/works/list/series/2254
auto-applied,approved-external-id,source_attackers_official,attackers.series,series,2255,地獄の女神,series_000020,,https://attackers.net/works/list/series/2255
auto-applied,approved-external-id,source_attackers_official,attackers.series,series,2256,奴隷島,series_000011,,https://attackers.net/works/list/series/2256
auto-applied,approved-external-id,source_attackers_official,attackers.series,series,2257,絶対調教,series_000021,,https://attackers.net/works/list/series/2257
auto-applied,approved-external-id,source_attackers_official,attackers.series,series,2258,淫乱奴隷の強制快楽,series_000022,,https://attackers.net/works/list/series/2258
auto-applied,approved-external-id,source_attackers_official,attackers.series,series,2259,貞操帯の女,series_000023,,https://attackers.net/works/list/series/2259
auto-applied,approved-external-id,source_attackers_official,attackers.series,series,2260,楠木女学院,series_000024,,https://attackers.net/works/list/series/2260
auto-applied,approved-external-id,source_attackers_official,attackers.series,series,2261,鬼畜輪姦,series_000025,,https://attackers.net/works/list/series/2261
auto-applied,approved-external-id,source_attackers_official,attackers.series,series,2263,女豹,series_000026,,https://attackers.net/works/list/series/2263
auto-applied,approved-external-id,source_attackers_official,attackers.series,series,2264,不貞な上下関係,series_000037,,https://attackers.net/works/list/series/2264
auto-applied,approved-external-id,source_attackers_official,attackers.series,series,2265,バイト先の人妻,series_000038,,https://attackers.net/works/list/series/2265
auto-applied,approved-external-id,source_attackers_official,attackers.series,series,2266,バイト先の欲求不満な人妻とヤリまくった日々。,series_000039,,https://attackers.net/works/list/series/2266
auto-applied,approved-external-id,source_attackers_official,attackers.series,series,2267,拷問の館,series_000040,,https://attackers.net/works/list/series/2267
auto-applied,approved-external-id,source_attackers_official,attackers.series,series,2268,夫には言えない羞恥の性癖,series_000041,,https://attackers.net/works/list/series/2268
auto-applied,approved-external-id,source_attackers_official,attackers.series,series,2269,あなたに愛されたくて。,series_000008,,https://attackers.net/works/list/series/2269
auto-applied,approved-external-id,source_attackers_official,attackers.series,series,2270,あなた、許して…。,series_000009,,https://attackers.net/works/list/series/2270
auto-applied,approved-external-id,source_attackers_official,attackers.series,series,2271,恋する妻達,series_000042,,https://attackers.net/works/list/series/2271
auto-applied,approved-external-id,source_attackers_official,attackers.series,series,2272,感じるほどに、踊る肉体,series_000043,,https://attackers.net/works/list/series/2272
auto-applied,approved-external-id,source_attackers_official,attackers.series,series,2274,犯される度に美しく,series_000012,,https://attackers.net/works/list/series/2274
auto-applied,approved-external-id,source_attackers_official,attackers.series,series,2275,心まで犯されて。,series_000044,,https://attackers.net/works/list/series/2275
auto-applied,approved-external-id,source_attackers_official,attackers.series,series,2277,堕ちていく令嬢,series_000045,,https://attackers.net/works/list/series/2277
auto-applied,approved-external-id,source_attackers_official,attackers.series,series,2278,恥辱の館,series_000046,,https://attackers.net/works/list/series/2278
auto-applied,approved-external-id,source_attackers_official,attackers.series,series,2279,夫のいない昼下がり,series_000047,,https://attackers.net/works/list/series/2279
auto-applied,approved-external-id,source_attackers_official,attackers.series,series,2280,服従の性奉仕,series_000048,,https://attackers.net/works/list/series/2280
auto-applied,approved-external-id,source_attackers_official,attackers.series,series,2281,壺に堕とされた女,series_000049,,https://attackers.net/works/list/series/2281
auto-applied,approved-external-id,source_attackers_official,attackers.series,series,2282,女教師玩具化計画,series_000050,,https://attackers.net/works/list/series/2282
auto-applied,approved-external-id,source_attackers_official,attackers.series,series,2284,禁じられた背徳姦,series_000051,,https://attackers.net/works/list/series/2284
auto-applied,approved-external-id,source_attackers_official,attackers.series,series,2286,桃色遊戯,series_000052,,https://attackers.net/works/list/series/2286
auto-applied,approved-external-id,source_attackers_official,attackers.series,series,2287,不埒な姦係,series_000062,,https://attackers.net/works/list/series/2287
auto-applied,approved-external-id,source_attackers_official,attackers.series,series,2288,あなたが欲しくて,series_000063,,https://attackers.net/works/list/series/2288
auto-applied,approved-external-id,source_attackers_official,attackers.series,series,2290,背徳の契り,series_000064,,https://attackers.net/works/list/series/2290
auto-applied,approved-external-id,source_attackers_official,attackers.series,series,2291,鬱勃起,series_000065,,https://attackers.net/works/list/series/2291
auto-applied,approved-external-id,source_attackers_official,attackers.series,series,2292,抱かれるための出社,series_000066,,https://attackers.net/works/list/series/2292
auto-applied,approved-external-id,source_attackers_official,attackers.series,series,2293,脱獄者,series_000010,,https://attackers.net/works/list/series/2293
auto-applied,approved-external-id,source_attackers_official,attackers.series,series,2295,舐め犯し,series_000067,,https://attackers.net/works/list/series/2295
auto-applied,approved-external-id,source_attackers_official,attackers.series,series,2298,素人強姦面接,series_000068,,https://attackers.net/works/list/series/2298
auto-applied,approved-external-id,source_attackers_official,attackers.series,series,2299,死夜悪アンソロジー,series_000069,,https://attackers.net/works/list/series/2299
auto-applied,approved-external-id,source_attackers_official,attackers.series,series,2300,蛇縛の拷問折檻,series_000070,,https://attackers.net/works/list/series/2300
auto-applied,approved-external-id,source_attackers_official,attackers.series,series,2301,BEST,series_000071,,https://attackers.net/works/list/series/2301
auto-applied,approved-external-id,source_attackers_official,attackers.series,series,2302,凌辱大捜査線,series_000072,,https://attackers.net/works/list/series/2302
auto-applied,approved-external-id,source_attackers_official,attackers.series,series,2303,これで最後にしてください。,series_000073,,https://attackers.net/works/list/series/2303
auto-applied,approved-external-id,source_attackers_official,attackers.series,series,2305,女優名鑑,series_000074,,https://attackers.net/works/list/series/2305
auto-applied,approved-external-id,source_attackers_official,attackers.series,series,2306,遺伝子の悲劇,series_000075,,https://attackers.net/works/list/series/2306
auto-applied,approved-external-id,source_attackers_official,attackers.series,series,2307,昭和哀歌,series_000076,,https://attackers.net/works/list/series/2307
auto-applied,approved-external-id,source_attackers_official,attackers.series,series,2308,声を出せない私,series_000077,,https://attackers.net/works/list/series/2308
auto-applied,approved-external-id,source_attackers_official,attackers.series,series,2309,極道の女,series_000078,,https://attackers.net/works/list/series/2309
auto-applied,approved-external-id,source_attackers_official,attackers.series,series,2311,くノ一拷問凌辱,series_000079,,https://attackers.net/works/list/series/2311
auto-applied,approved-external-id,source_attackers_official,attackers.series,series,2312,奴隷色のステージ,series_000080,,https://attackers.net/works/list/series/2312
auto-applied,approved-external-id,source_attackers_official,attackers.series,series,2325,団鬼六,series_000013,,https://attackers.net/works/list/series/2325
auto-applied,approved-external-id,source_attackers_official,attackers.series,series,2402,侵入者,series_000007,,https://attackers.net/works/list/series/2402
auto-applied,approved-external-id,source_attackers_official,attackers.series,series,5317,調教志願,series_000014,,https://attackers.net/works/list/series/5317
auto-applied,approved-external-id,source_ideapocket_official,ideapocket.label,label,10077,AVグランプリ,label_000076,,https://ideapocket.com/works/list/label/10077
auto-applied,approved-external-id,source_ideapocket_official,ideapocket.label,label,10103,SELECTED,label_000073,,https://ideapocket.com/works/list/label/10103
auto-applied,approved-external-id,source_ideapocket_official,ideapocket.label,label,10142,おっぱい祭り,label_000077,,https://ideapocket.com/works/list/label/10142
auto-applied,approved-external-id,source_ideapocket_official,ideapocket.label,label,10144,秋のシコシコ強化月間,label_000080,,https://ideapocket.com/works/list/label/10144
auto-applied,approved-external-id,source_ideapocket_official,ideapocket.label,label,10151,背徳ビチョビチョ！NTR大放出,label_000078,,https://ideapocket.com/works/list/label/10151
auto-applied,approved-external-id,source_ideapocket_official,ideapocket.label,label,12442,アイポケ逸材発掘プロジェクト,label_000069,,https://ideapocket.com/works/list/label/12442
auto-applied,approved-external-id,source_ideapocket_official,ideapocket.label,label,12835,ゆるポケ,label_000071,,https://ideapocket.com/works/list/label/12835
auto-applied,approved-external-id,source_ideapocket_official,ideapocket.label,label,2758,Angel,label_000072,,https://ideapocket.com/works/list/label/2758
auto-applied,approved-external-id,source_ideapocket_official,ideapocket.label,label,2760,Angel PREMIUM,label_000079,,https://ideapocket.com/works/list/label/2760
auto-applied,approved-external-id,source_ideapocket_official,ideapocket.label,label,2767,HIGH-SCHOOL Pink,label_000070,,https://ideapocket.com/works/list/label/2767
auto-applied,approved-external-id,source_ideapocket_official,ideapocket.label,label,2769,アイデアポケットBEST,label_000066,,https://ideapocket.com/works/list/label/2769
auto-applied,approved-external-id,source_ideapocket_official,ideapocket.label,label,2771,ティッシュ,label_000065,,https://ideapocket.com/works/list/label/2771
auto-applied,approved-external-id,source_ideapocket_official,ideapocket.label,label,2776,Supreme,label_000068,,https://ideapocket.com/works/list/label/2776
auto-applied,approved-external-id,source_ideapocket_official,ideapocket.label,label,85265,春のパンツまつり,label_000075,,https://ideapocket.com/works/list/label/85265
auto-applied,approved-external-id,source_ideapocket_official,ideapocket.label,label,9483,AVOPEN,label_000074,,https://ideapocket.com/works/list/label/9483
auto-applied,approved-external-id,source_ideapocket_official,ideapocket.label,label,9790,IP-VR,label_000067,,https://ideapocket.com/works/list/label/9790
auto-applied,approved-external-id,source_ideapocket_official,ideapocket.series,series,1011,うちの妻を犯して下さい,series_000004,,https://ideapocket.com/works/list/series/1011
auto-applied,approved-external-id,source_ideapocket_official,ideapocket.series,series,863,死ぬほど大嫌いな上司とまさかの相部屋に,series_000003,,https://ideapocket.com/works/list/series/863
auto-applied,approved-external-id,source_ideapocket_official,ideapocket.series,series,939,見つめる愛情イラマチオ,series_000104,,https://ideapocket.com/works/list/series/939
auto-applied,approved-external-id,source_madonna_official,madonna.label,label,10077,AVグランプリ,label_000035,,https://madonna-av.com/works/list/label/10077
auto-applied,approved-external-id,source_madonna_official,madonna.label,label,10119,※スマホ推奨タテ動画※マドーンショート,label_000031,,https://madonna-av.com/works/list/label/10119
auto-applied,approved-external-id,source_madonna_official,madonna.label,label,10130,Re:Madonna/AIリマスター,label_000028,,https://madonna-av.com/works/list/label/10130
auto-applied,approved-external-id,source_madonna_official,madonna.label,label,10142,おっぱい祭り,label_000034,,https://madonna-av.com/works/list/label/10142
auto-applied,approved-external-id,source_madonna_official,madonna.label,label,10151,背徳ビチョビチョ！NTR大放出,label_000036,,https://madonna-av.com/works/list/label/10151
auto-applied,approved-external-id,source_madonna_official,madonna.label,label,10159,性録ch,label_000030,,https://madonna-av.com/works/list/label/10159
auto-applied,approved-external-id,source_madonna_official,madonna.label,label,12490,MONROE,label_000021,,https://madonna-av.com/works/list/label/12490
auto-applied,approved-external-id,source_madonna_official,madonna.label,label,12502,MADOOOON!!!!,label_000027,,https://madonna-av.com/works/list/label/12502
auto-applied,approved-external-id,source_madonna_official,madonna.label,label,12603,ACHIJO(アチージョ),label_000026,,https://madonna-av.com/works/list/label/12603
auto-applied,approved-external-id,source_madonna_official,madonna.label,label,3125,bizarre　amaturs,label_000037,,https://madonna-av.com/works/list/label/3125
auto-applied,approved-external-id,source_madonna_official,madonna.label,label,3669,Madonna,label_000020,,https://madonna-av.com/works/list/label/3669
auto-applied,approved-external-id,source_madonna_official,madonna.label,label,7354,Fitch,label_000024,,https://madonna-av.com/works/list/label/7354
auto-applied,approved-external-id,source_madonna_official,madonna.label,label,7993,Fitch　BEST,label_000029,,https://madonna-av.com/works/list/label/7993
auto-applied,approved-external-id,source_madonna_official,madonna.label,label,85265,春のパンツまつり,label_000032,,https://madonna-av.com/works/list/label/85265
auto-applied,approved-external-id,source_madonna_official,madonna.label,label,9387,Obasan,label_000022,,https://madonna-av.com/works/list/label/9387
auto-applied,approved-external-id,source_madonna_official,madonna.label,label,9419,熟れコミ,label_000025,,https://madonna-av.com/works/list/label/9419
auto-applied,approved-external-id,source_madonna_official,madonna.label,label,9483,AVOPEN,label_000033,,https://madonna-av.com/works/list/label/9483
auto-applied,approved-external-id,source_madonna_official,madonna.label,label,9789,MadonnaVR,label_000023,,https://madonna-av.com/works/list/label/9789
auto-applied,approved-external-id,source_madonna_official,madonna.series,series,1546,もう一つの熟バス,series_000053,,https://madonna-av.com/works/list/series/1546
auto-applied,approved-external-id,source_madonna_official,madonna.series,series,1547,母さんとしたい!,series_000054,,https://madonna-av.com/works/list/series/1547
auto-applied,approved-external-id,source_madonna_official,madonna.series,series,1548,義父に犯されて・・・ 美嫁いぢり,series_000055,,https://madonna-av.com/works/list/series/1548
auto-applied,approved-external-id,source_madonna_official,madonna.series,series,1549,となりの奥さん,series_000027,,https://madonna-av.com/works/list/series/1549
auto-applied,approved-external-id,source_madonna_official,madonna.series,series,1550,美熟女と黒人,series_000028,,https://madonna-av.com/works/list/series/1550
