classification,reason,provider,snapshot_id,external_id,name_ja,maker_id,community_id,candidate_community_ids,source_url
published,approved-external-id,attackers.series,attackers-series-2026-09-04-partial-001,2253,アナル奴隷白書,maker_000004,series_000018,,https://attackers.net/works/list/series/2253
published,approved-external-id,attackers.series,attackers-series-2026-09-04-partial-001,2254,夫の目の前で犯されて,maker_000004,series_000019,,https://attackers.net/works/list/series/2254
published,approved-external-id,attackers.series,attackers-series-2026-09-04-partial-001,2255,地獄の女神,maker_000004,series_000020,,https://attackers.net/works/list/series/2255
published,approved-external-id,attackers.series,attackers-series-2026-09-04-partial-001,2256,奴隷島,maker_000004,series_000011,,https://attackers.net/works/list/series/2256
published,approved-external-id,attackers.series,attackers-series-2026-09-04-partial-001,2257,絶対調教,maker_000004,series_000021,,https://attackers.net/works/list/series/2257
published,approved-external-id,attackers.series,attackers-series-2026-09-04-partial-001,2258,淫乱奴隷の強制快楽,maker_000004,series_000022,,https://attackers.net/works/list/series/2258
published,approved-external-id,attackers.series,attackers-series-2026-09-04-partial-001,2259,貞操帯の女,maker_000004,series_000023,,https://attackers.net/works/list/series/2259
published,approved-external-id,attackers.series,attackers-series-2026-09-04-partial-001,2260,楠木女学院,maker_000004,series_000024,,https://attackers.net/works/list/series/2260
published,approved-external-id,attackers.series,attackers-series-2026-09-04-partial-001,2261,鬼畜輪姦,maker_000004,series_000025,,https://attackers.net/works/list/series/2261
published,approved-external-id,attackers.series,attackers-series-2026-09-04-partial-001,2263,女豹,maker_000004,series_000026,,https://attackers.net/works/list/series/2263
published,approved-external-id,madonna.series,madonna-series-2026-09-04-partial-001,1549,となりの奥さん,maker_000005,series_000027,,https://madonna-av.com/works/list/series/1549
published,approved-external-id,madonna.series,madonna-series-2026-09-04-partial-001,1550,美熟女と黒人,maker_000005,series_000028,,https://madonna-av.com/works/list/series/1550
published,approved-external-id,madonna.series,madonna-series-2026-09-04-partial-001,1551,愛する夫の目の前で・・・,maker_000005,series_000029,,https://madonna-av.com/works/list/series/1551
published,approved-external-id,madonna.series,madonna-series-2026-09-04-partial-001,1552,特選 友達の母,maker_000005,series_000030,,https://madonna-av.com/works/list/series/1552
published,approved-external-id,madonna.series,madonna-series-2026-09-04-partial-001,1553,僕のおばさん,maker_000005,series_000031,,https://madonna-av.com/works/list/series/1553
published,approved-external-id,madonna.series,madonna-series-2026-09-04-partial-001,1554,素人人妻ナンパ総集編4時間,maker_000005,series_000032,,https://madonna-av.com/works/list/series/1554
published,approved-external-id,madonna.series,madonna-series-2026-09-04-partial-001,1555,五十路熟女18人4時間,maker_000005,series_000033,,https://madonna-av.com/works/list/series/1555
published,approved-external-id,madonna.series,madonna-series-2026-09-04-partial-001,1556,団地妻20人4時間,maker_000005,series_000034,,https://madonna-av.com/works/list/series/1556
published,approved-external-id,madonna.series,madonna-series-2026-09-04-partial-001,1557,犯された熟女たち総集編4時間,maker_000005,series_000035,,https://madonna-av.com/works/list/series/1557
published,approved-external-id,madonna.series,madonna-series-2026-09-04-partial-001,1558,妖艶おんな愛戯,maker_000005,series_000036,,https://madonna-av.com/works/list/series/1558
