id,name_ja,name_zh,name_en,aliases_ja,aliases_zh,aliases_en,maker_id,maker_ja,label_id,label_ja,status,official_website,external_ids,first_known_release_date,first_published_in
series_000001,新人NO.1STYLE,新人NO.1 STYLE,Shinjin NO.1 STYLE,新人NO.1 STYLE,,Newcomer NO.1 STYLE,maker_000003,エスワン,,,unknown,https://s1s1s1.com/works/list/series/414,s1.series:414,,0.4.0
series_000002,カラミざかり,青春交缠,Karamizakari,,,,maker_000002,MOODYZ,,,unknown,https://moodyz.com/works/list/series/5427,moodyz.series:5427,,0.4.0
series_000003,死ぬほど大嫌いな上司とまさかの相部屋に,竟然和讨厌到要死的上司同住一间房,Unexpectedly Sharing a Room with the Boss I Hate,,,,maker_000001,アイデアポケット,,,unknown,https://ideapocket.com/works/list/series/863,ideapocket.series:863,,0.4.0
series_000004,うちの妻を犯して下さい,请侵犯我的妻子,Please Take My Wife,,,,maker_000001,アイデアポケット,,,unknown,https://ideapocket.com/works/list/series/1011,ideapocket.series:1011,,0.4.0
series_000005,おま●こ、くぱぁ,阴部，张开,Spread Open,,,,maker_000003,エスワン,,,unknown,https://s1s1s1.com/works/list/series/422,s1.series:422,,0.4.3
series_000006,ラブキモメン,爱上恶心男,Love Creepy Men,,,,maker_000003,エスワン,,,unknown,https://s1s1s1.com/works/list/series/570,s1.series:570,,0.4.3
series_000007,侵入者,入侵者,Intruder,,,,maker_000004,ATTACKERS,,,unknown,https://attackers.net/works/list/series/2402,attackers.series:2402,,0.4.3
series_000008,あなたに愛されたくて。,渴望被你爱。,Wanting to Be Loved by You,,,,maker_000004,ATTACKERS,,,unknown,https://attackers.net/works/list/series/2269,attackers.series:2269,,0.4.3
series_000009,あなた、許して…。,亲爱的，请原谅我……,Please Forgive Me...,,,,maker_000004,ATTACKERS,,,unknown,https://attackers.net/works/list/series/2270,attackers.series:2270,,0.4.3
series_000010,脱獄者,越狱者,Escapee,,,,maker_000004,ATTACKERS,,,unknown,https://attackers.net/works/list/series/2293,attackers.series:2293,,0.4.3
series_000011,奴隷島,奴隶岛,Slave Island,,,,maker_000004,ATTACKERS,,,unknown,https://attackers.net/works/list/series/2256,attackers.series:2256,,0.4.3
series_000012,犯される度に美しく,每次被侵犯都更加美丽,More Beautiful Each Time,,,,maker_000004,ATTACKERS,,,unknown,https://attackers.net/works/list/series/2274,attackers.series:2274,,0.4.3
series_000013,団鬼六,团鬼六,Dan Oniroku,,,,maker_000004,ATTACKERS,,,unknown,https://attackers.net/works/list/series/2325,attackers.series:2325,,0.4.3
series_000014,調教志願,自愿调教,Voluntary Training,,,,maker_000004,ATTACKERS,,,unknown,https://attackers.net/works/list/series/5317,attackers.series:5317,,0.4.3
series_000015,年下レズビアンに愛された私,被年下女同性恋者爱上的我,Loved by a Younger Lesbian,,,,maker_000005,マドンナ,,,unknown,https://madonna-av.com/works/list/series/1846,madonna.series:1846,,0.4.3
series_000016,廃業寸前,濒临停业,On the Verge of Closing,,,,maker_000005,マドンナ,,,unknown,https://madonna-av.com/works/list/series/1891,madonna.series:1891,,0.4.3
series_000017,夫の上司に飾られた　人妻ボディアクセサリー,被丈夫上司装饰的人妻身体饰品,Married Woman Body Accessory Adorned by Her Husband's Boss,,,,maker_000005,マドンナ,,,unknown,https://madonna-av.com/works/list/series/1749,madonna.series:1749,,0.4.3
